id_pedido,fecha,hora,cliente,producto,cantidad,precio_unitario,metodo_pago,ciudad,calificacion,notas
,,,Paual Vargas,Machiato,1.0,14400.0,Efectivo,Cali,5,caliente porfavor
PED-0028,,,eSbastián Sánchez,Cold brew,3.0,9900.0,,,5,
PED-0029,,,Andrsé Ortiz,,3.0,,tarjeta débito,Pereira,1,extra caliente
PED-0030,,13:36:00,Aan Vargas,Cappuccino,3.0,15800.0,Nequi,Medellín,2,
PED-0031,,18:41:00,Isaeblla Herrera,Machiato,3.0,16300.0,Efectivo,,,para llevar
,,,,Mocha,2.0,,DaviPlata,,1,doble shot
PED-0033,,,aLura Ramírez,Cold brew,3.0,13500.0,,Barranquilla,3,
PED-0034,,07:19:00,oJrge Flores,Machiato,1.0,14600.0,Efectivo,Medellín,2,
PED-0035,,23:23:00,Isabella González,Mocha,4.0,8500.0,,,4,para llevar
,,,Isaeblla Ramos,Machiato,5.0,12700.0,Tarjeta,,4,doble shot
PED-0037,,09:54:00,aMriana Martínez,Mocha,1.0,7400.0,,Pereira,,
PED-0038,,,,Americano,2.0,6500.0,Tarjeta,,5,muy rico!
PED-0039,,02:39:00,Digeo Muñoz,Cappuccino,5.0,,Tarjeta,Pereira,4,extra caliente
PED-0040,,,oJrge Ramos,Americano,4.0,7600.0,tarjeta débito,Barranquilla,4,
PED-0041,,23:49:00,sIabella Gutiérrez,Cappuccino,3.0,9200.0,Nequi,Medellín,3,extra caliente
PED-0042,,08:56:00,nAa Torres,Té verde,1.0,6400.0,tarjeta débito,,,muy rico!
PED-0043,,06:31:00,Isabella Ramírez,Chocolate caliente,1.0,13700.0,Tarjeta,Medellín,1,
PED-0044,,09:15:00,Digeo Herrera,,1.0,12300.0,Tarjeta,,4,
PED-0045,,,Juna Herrera,Té verde,3.0,15600.0,transferencia,BOGOTA,5,para llevar
PED-0046,,,Aan González,Mocha,4.0,5300.0,Tarjeta,,5,muy rico!
,,23:43:00,,Cold brew,4.0,12700.0,transferencia,Barranquilla,4,
,,,Vlaentina Ortiz,Latte,3.0,13200.0,Efectivo,,,sin lactosa
PED-0049,,,Luara Jiménez,Chocolate caliente,2.0,15700.0,transferencia,Pereira,2,sin azúcar
PED-0050,,22:09:00,Sofaí Jiménez,Espresso,2.0,6400.0,Efectivo,BOGOTA,3,extra caliente
PED-0051,,,,Cappuccino,3.0,15800.0,Efectivo,,,
PED-0052,,,lAejandro Díaz,Latte,4.0,4700.0,transferencia,BOGOTA,5,sin azúcar
PED-0053,,10:04:00,Valnetina Martínez,Té verde,2.0,13000.0,transferencia,Pereira,3,
PED-0054,,21:23:00,aNtalia Morales,Cappuccino,2.0,,,BOGOTA,3,
PED-0055,,,,Mocha,4.0,10300.0,tarjeta débito,Medellín,1,
,,09:16:00,Mairana Vargas,,3.0,14800.0,Nequi,Cartagena,4,doble shot
PED-0057,,,Iasbella Gutiérrez,Té verde,3.0,11900.0,,Barranquilla,5,para llevar
PED-0058,,,Soífa Ortiz,Latte,2.0,13200.0,transferencia,Medellín,3,muy rico!
PED-0059,,,Carols Castro,Latte,5.0,12500.0,tarjeta débito,BOGOTA,,caliente porfavor
PED-0060,,,Aan Díaz,Espresso,4.0,10800.0,Nequi,,4,
PED-0061,,21:38:00,sIabella González,Americano,2.0,11400.0,tarjeta débito,,,sin lactosa
,,,,Frappé,2.0,8400.0,,Pereira,5,caliente porfavor
PED-0063,,,Carlso Vargas,Machiato,3.0,17900.0,DaviPlata,,4,muy rico!
PED-0064,,21:55:00,Jorge Ortiz,Frappé,5.0,9600.0,Efectivo,Cartagena,,extra caliente
PED-0065,,21:20:00,Feilpe González,Té verde,5.0,14900.0,tarjeta débito,Cali,3,
PED-0066,,10:14:00,,,1.0,10500.0,Nequi,Cartagena,2,doble shot
PED-0067,,11:59:00,nAa Flores,Americano,3.0,13200.0,transferencia,Pereira,,sin azúcar
PED-0068,,18:52:00,María Pérez,,5.0,,tarjeta débito,Medellín,3,
PED-0069,,,Luara Muñoz,Mocha,5.0,4700.0,,,1,
PED-0070,,08:07:00,Lusi Muñoz,Machiato,1.0,11600.0,,Pereira,,muy rico!
,,10:49:00,Naatlia Díaz,Mocha,1.0,15500.0,Tarjeta,Pereira,1,extra caliente
PED-0072,,,aMría Morales,Té verde,1.0,11800.0,DaviPlata,BOGOTA,2,sin azúcar
PED-0073,,,Soífa Rodríguez,Cold brew,5.0,16300.0,,,3,
PED-0074,,13:19:00,Aan Morales,Espresso,4.0,5100.0,DaviPlata,BOGOTA,4,
PED-0075,,16:19:00,Maraí Ramírez,Té verde,1.0,,DaviPlata,Medellín,5,extra caliente
PED-0076,,,Naatlia Rodríguez,Frappé,3.0,9400.0,DaviPlata,BOGOTA,4,
PED-0077,,19:08:00,Jorge García,Cold brew,4.0,14400.0,,Pereira,,muy rico!
,,,Sebsatián Ramírez,,5.0,11700.0,,Barranquilla,4,
PED-0079,,,,Cold brew,1.0,,tarjeta débito,Medellín,3,extra caliente
PED-0080,,16:38:00,uJan Torres,Americano,5.0,9800.0,tarjeta débito,,2,extra caliente
PED-0081,,,Isablela Ortiz,Latte,5.0,,Efectivo,Medellín,3,para llevar
PED-0082,,,Felipe Ramírez,Chocolate caliente,1.0,12100.0,Nequi,Barranquilla,,sin lactosa
PED-0083,,03:47:00,Soífa Díaz,Machiato,4.0,8900.0,DaviPlata,Pereira,5,
PED-0084,,01:16:00,iDego Muñoz,Frappé,1.0,10700.0,tarjeta débito,BOGOTA,3,extra caliente
PED-0085,,,Aleajndro Muñoz,Frappé,5.0,5600.0,Nequi,Medellín,3,
PED-0086,,20:20:00,aMría Herrera,Mocha,4.0,5700.0,DaviPlata,Pereira,3,
PED-0087,,08:36:00,Caimla Sánchez,Frappé,4.0,7600.0,Efectivo,,3,caliente porfavor
PED-0088,,10:32:00,Dieog Pérez,Latte,3.0,10700.0,Nequi,Cartagena,3,
PED-0089,,,,Espresso,3.0,12900.0,,BOGOTA,4,sin lactosa
PED-0090,,,Mraía Sánchez,Mocha,5.0,9500.0,tarjeta débito,Cali,3,
PED-0091,,02:55:00,Sfoía Herrera,Americano,1.0,11700.0,,Medellín,4,doble shot
PED-0092,,08:40:00,Isaeblla Sánchez,Chocolate caliente,,15200.0,Efectivo,BOGOTA,3,
PED-0093,,07:12:00,,,5.0,15100.0,,Medellín,,
,,,aMría Herrera,Americano,4.0,,Nequi,,2,muy rico!
PED-0095,,18:22:00,eFlipe Ramírez,Machiato,1.0,6700.0,Efectivo,Medellín,5,caliente porfavor
PED-0096,,10:24:00,Isabella Pérez,Machiato,5.0,9800.0,Efectivo,Medellín,2,extra caliente
PED-0097,,,Jaun Ramos,Cappuccino,1.0,9900.0,Tarjeta,Barranquilla,4,
PED-0098,,22:33:00,Cmaila Torres,Americano,1.0,,Efectivo,Medellín,1,
,,22:00:00,Ana Vargas,Mocha,5.0,11200.0,Efectivo,Barranquilla,,para llevar
PED-0100,,15:20:00,Andrés Flores,Americano,4.0,8800.0,,,1,sin azúcar
PED-0101,,13:26:00,,Frappé,2.0,,tarjeta débito,BOGOTA,1,sin azúcar
PED-0102,,14:14:00,,Latte,,6300.0,Tarjeta,,,para llevar
PED-0103,,,Sebsatián González,Cold brew,3.0,5700.0,,,,
PED-0104,,,Dieog García,Chocolate caliente,3.0,,Nequi,Cartagena,,extra caliente
PED-0105,,23:50:00,Camlia Castro,Cappuccino,5.0,7800.0,Efectivo,,5,extra caliente
PED-0106,,,Digeo Pérez,Machiato,,15400.0,Efectivo,Medellín,4,caliente porfavor
,,,,Té verde,5.0,12100.0,Tarjeta,BOGOTA,4,para llevar
PED-0108,,,aPula Ramos,Té verde,4.0,9000.0,Efectivo,BOGOTA,4,
PED-0109,,,aMría Martínez,Machiato,2.0,5900.0,tarjeta débito,Barranquilla,1,
,,11:56:00,Luis Herrera,,1.0,15100.0,Nequi,Barranquilla,2,extra caliente
,,,,Latte,3.0,7100.0,Tarjeta,BOGOTA,5,doble shot
PED-0112,,14:36:00,aMría Jiménez,Chocolate caliente,4.0,,DaviPlata,Barranquilla,2,sin lactosa
PED-0113,,,,Chocolate caliente,5.0,17100.0,Nequi,Medellín,,sin azúcar
PED-0114,,09:59:00,Valenitna Morales,Latte,1.0,9900.0,,Medellín,3,sin azúcar
PED-0115,,09:54:00,Sfoía Flores,Machiato,5.0,9900.0,transferencia,,,
,,,,Americano,4.0,15600.0,transferencia,Cartagena,3,muy rico!
PED-0117,,,Adnrés Ramírez,Latte,1.0,11100.0,Efectivo,Medellín,4,
PED-0118,,,Alejadnro Castro,Espresso,2.0,4600.0,Tarjeta,BOGOTA,3,doble shot
PED-0119,,06:41:00,Natlaia Díaz,Té verde,3.0,14100.0,DaviPlata,,5,
PED-0120,,,Jaun Torres,,3.0,15900.0,Efectivo,,2,
PED-0121,,11:49:00,,Machiato,1.0,,Nequi,Cali,5,sin azúcar
PED-0122,,06:40:00,,Latte,2.0,13100.0,Tarjeta,Medellín,,muy rico!
PED-0123,,,Maíra Martínez,Cold brew,5.0,9100.0,Efectivo,Medellín,3,
PED-0124,,,,Cappuccino,1.0,10100.0,DaviPlata,Pereira,4,
,,,Fleipe Muñoz,Té verde,4.0,5000.0,Tarjeta,Medellín,3,
PED-0126,,16:11:00,Felpie Vargas,Té verde,3.0,6100.0,Tarjeta,Medellín,1,para llevar
PED-0127,,09:56:00,Juan García,Espresso,1.0,12500.0,DaviPlata,BOGOTA,2,
PED-0128,,11:04:00,eFlipe Ortiz,Machiato,1.0,14300.0,,Cartagena,4,muy rico!
PED-0129,,11:13:00,aCmila Ramírez,Cold brew,1.0,,,BOGOTA,,
,,12:12:00,,Latte,1.0,7500.0,Tarjeta,Cartagena,3,
PED-0131,,10:06:00,Juna Díaz,Machiato,5.0,11200.0,DaviPlata,BOGOTA,3,
PED-0132,,10:45:00,Isabella Herrera,Cold brew,2.0,12600.0,tarjeta débito,Pereira,5,muy rico!
PED-0133,,,Isabelal Ramírez,Chocolate caliente,1.0,4800.0,transferencia,Medellín,2,para llevar
PED-0134,,,Anrdés Muñoz,Chocolate caliente,4.0,17700.0,Nequi,BOGOTA,1,
PED-0135,,23:22:00,,Chocolate caliente,3.0,6300.0,,,4,
PED-0136,,16:24:00,,Té verde,3.0,7400.0,,Medellín,5,
PED-0137,,19:41:00,oJrge Muñoz,,3.0,17300.0,transferencia,,5,extra caliente
PED-0138,,09:18:00,Valentian Díaz,Mocha,4.0,13000.0,DaviPlata,Barranquilla,5,
PED-0139,,,Cmaila Morales,Frappé,3.0,6400.0,Nequi,Medellín,3,sin azúcar
,,05:08:00,aMriana Sánchez,Espresso,5.0,16000.0,transferencia,Cali,4,extra caliente
PED-0141,,21:35:00,Fleipe Castro,Té verde,3.0,6800.0,Tarjeta,Pereira,4,
PED-0142,,22:32:00,Sfoía Ortiz,Machiato,5.0,12500.0,Nequi,Cartagena,5,muy rico!
PED-0143,,22:40:00,Dvaid Díaz,Cappuccino,2.0,7600.0,Tarjeta,Barranquilla,5,
PED-0144,,,Sofaí Herrera,Americano,5.0,15500.0,DaviPlata,,,para llevar
PED-0145,,,Luara Ramírez,Cappuccino,2.0,6700.0,Nequi,Pereira,,para llevar
PED-0146,,07:56:00,Lius Rodríguez,,4.0,5400.0,tarjeta débito,BOGOTA,5,muy rico!
PED-0147,,,,Frappé,4.0,15300.0,Efectivo,BOGOTA,5,
PED-0148,,,oJrge Ramírez,Machiato,3.0,11700.0,DaviPlata,BOGOTA,4,sin lactosa
,,06:39:00,aMriana Pérez,Machiato,1.0,,transferencia,,5,caliente porfavor
PED-0150,,08:58:00,Isablela Jiménez,Americano,5.0,5000.0,DaviPlata,Barranquilla,,doble shot
PED-0151,,,Sebastiná Ramos,Mocha,2.0,,tarjeta débito,,5,doble shot
PED-0152,,,Andérs Sánchez,Americano,3.0,9300.0,DaviPlata,,3,extra caliente
PED-0153,,,Felpie Ramírez,Té verde,2.0,,tarjeta débito,,4,muy rico!
PED-0154,,,Mairana Jiménez,Té verde,4.0,15000.0,Efectivo,Barranquilla,,
PED-0155,,11:26:00,Alejadnro Vargas,Espresso,5.0,12300.0,,,4,muy rico!
PED-0156,,23:11:00,Alejandor Muñoz,Mocha,4.0,5800.0,Nequi,BOGOTA,4,doble shot
PED-0157,,22:28:00,Jroge Torres,,5.0,,Nequi,,3,doble shot
PED-0158,,,aCrlos Jiménez,Cold brew,,14900.0,transferencia,Cali,1,
PED-0159,,,Jorge Jiménez,Frappé,2.0,10700.0,,Barranquilla,4,muy rico!
PED-0160,,13:33:00,Feilpe Castro,Machiato,2.0,11900.0,Nequi,BOGOTA,4,para llevar
,,,Naatlia Vargas,Machiato,4.0,12900.0,,,5,sin azúcar
PED-0162,,09:33:00,Valenitna Pérez,Chocolate caliente,1.0,7000.0,,,3,extra caliente
,,,Lusi Gutiérrez,Cappuccino,2.0,7700.0,,Cali,4,sin lactosa
,,07:31:00,Luara Ramos,Latte,2.0,8800.0,transferencia,,3,
PED-0165,,,Luara Gutiérrez,Frappé,,6600.0,Tarjeta,,4,muy rico!
PED-0166,,,Lius Martínez,Espresso,2.0,7200.0,Efectivo,Medellín,,sin lactosa
PED-0167,,,Camlia Morales,Mocha,,5500.0,tarjeta débito,Cali,,
PED-0168,,11:59:00,Sebastáin García,Machiato,4.0,16700.0,Nequi,,3,sin lactosa
PED-0169,,,Feilpe López,Americano,2.0,4800.0,Tarjeta,Cartagena,3,muy rico!
PED-0170,,,Dvaid Herrera,,1.0,8600.0,tarjeta débito,,1,
PED-0171,,,Andrsé Gutiérrez,Latte,2.0,15100.0,transferencia,BOGOTA,4,sin azúcar
PED-0172,,01:12:00,uLis Martínez,Machiato,,10100.0,,BOGOTA,4,sin azúcar
PED-0173,,,Mairana Martínez,,1.0,14500.0,transferencia,BOGOTA,3,caliente porfavor
PED-0174,,,,Cappuccino,3.0,13300.0,transferencia,Pereira,1,
PED-0175,,,Valenitna Muñoz,Cappuccino,3.0,16500.0,DaviPlata,Medellín,,
PED-0176,,10:46:00,Natlaia Flores,Frappé,2.0,16800.0,transferencia,,5,
PED-0177,,17:11:00,,,1.0,12800.0,transferencia,,2,
PED-0178,,06:39:00,nAa Muñoz,Americano,,17000.0,DaviPlata,Barranquilla,4,
PED-0179,,10:29:00,Alejandro González,Cappuccino,5.0,14800.0,tarjeta débito,,3,doble shot
PED-0180,,18:46:00,Paual Castro,Cold brew,5.0,16600.0,Nequi,Cali,4,para llevar
,,,Sfoía Ramos,Cappuccino,4.0,14400.0,Efectivo,Pereira,,para llevar
PED-0182,,03:39:00,Iasbella Muñoz,,,6500.0,transferencia,Barranquilla,5,caliente porfavor
PED-0183,,,Daivd Rodríguez,Chocolate caliente,,10900.0,,Cali,3,muy rico!
PED-0184,,12:00:00,Lius Flores,,3.0,,Efectivo,,1,
PED-0185,,,Daivd Castro,Cappuccino,2.0,15800.0,,Cali,4,para llevar
PED-0186,,,Valnetina Ortiz,Cappuccino,3.0,13000.0,DaviPlata,Cartagena,4,extra caliente
,,08:24:00,aVlentina Gutiérrez,Cold brew,5.0,9100.0,Tarjeta,,3,para llevar
PED-0188,,,,Mocha,2.0,7100.0,,Medellín,4,doble shot
PED-0189,,,Sbeastián Muñoz,Cappuccino,1.0,5700.0,,,5,
,,10:32:00,Maíra Castro,Machiato,3.0,9800.0,tarjeta débito,,3,
PED-0191,,,Maraí Pérez,Frappé,2.0,9700.0,tarjeta débito,,5,sin lactosa
PED-0192,,15:58:00,Lusi García,Espresso,5.0,,,Pereira,5,doble shot
PED-0193,,,Camlia Rodríguez,Cappuccino,5.0,9300.0,,Medellín,2,caliente porfavor
PED-0194,,13:11:00,Soífa Morales,,4.0,6300.0,Efectivo,,4,caliente porfavor
PED-0195,,,Juan Castro,Cold brew,1.0,14400.0,Efectivo,Medellín,3,extra caliente
PED-0196,,,Fleipe Gutiérrez,,5.0,14300.0,Tarjeta,,3,
PED-0197,,13:42:00,Daivd Martínez,,3.0,8000.0,Nequi,Cartagena,5,
PED-0198,,17:54:00,Feilpe Torres,Frappé,2.0,14000.0,tarjeta débito,,,
,,,nAa Gutiérrez,,2.0,13600.0,Nequi,,1,
PED-0200,,14:49:00,Aan Torres,Espresso,1.0,7900.0,Nequi,BOGOTA,4,doble shot
PED-0201,,,aDvid Ortiz,Chocolate caliente,2.0,5900.0,tarjeta débito,BOGOTA,,caliente porfavor
PED-0202,,20:48:00,sIabella Díaz,Cappuccino,4.0,15500.0,Tarjeta,BOGOTA,3,doble shot
PED-0203,,,Alejandor Castro,Cold brew,2.0,7100.0,Efectivo,Cartagena,4,muy rico!
PED-0204,,13:04:00,Digeo González,Cold brew,,14000.0,DaviPlata,,5,extra caliente
,,,Luis Ramos,Latte,1.0,14700.0,Nequi,Medellín,2,
PED-0206,,,Isablela Ramírez,Chocolate caliente,2.0,,Efectivo,Cali,3,extra caliente
PED-0207,,,aMría Ramírez,Cold brew,4.0,,DaviPlata,BOGOTA,3,doble shot
PED-0208,,17:08:00,Fleipe Herrera,,3.0,7700.0,,Cartagena,,caliente porfavor
PED-0209,,12:37:00,Natalai Ramírez,Espresso,3.0,8500.0,Nequi,Medellín,5,caliente porfavor
PED-0210,,,Carols Flores,Cappuccino,1.0,14400.0,Efectivo,Cartagena,4,extra caliente
PED-0211,,,,Chocolate caliente,2.0,9500.0,Nequi,BOGOTA,1,
PED-0212,,,Maraí Castro,Americano,2.0,,Efectivo,BOGOTA,5,
PED-0213,,,,Cold brew,,16600.0,Efectivo,BOGOTA,1,extra caliente
PED-0214,,,Isbaella Pérez,Té verde,4.0,13900.0,Nequi,,3,doble shot
PED-0215,,18:59:00,uJan García,Té verde,5.0,8000.0,transferencia,Medellín,1,
PED-0216,,08:20:00,Aleajndro Torres,Machiato,2.0,14300.0,Tarjeta,Barranquilla,1,sin azúcar
PED-0217,,,Natlaia Flores,Té verde,5.0,17200.0,tarjeta débito,,2,sin lactosa
PED-0218,,,aLura Flores,Espresso,2.0,17800.0,,Medellín,5,
PED-0219,,02:40:00,Maíra Ortiz,Mocha,4.0,13500.0,Efectivo,Cartagena,,doble shot
PED-0220,,,,Espresso,3.0,8200.0,Efectivo,Medellín,,doble shot
PED-0221,,08:07:00,Camila Flores,Cold brew,4.0,,Efectivo,,5,muy rico!
PED-0222,,,,,2.0,13900.0,Efectivo,BOGOTA,2,extra caliente
PED-0223,,08:06:00,Andrés Sánchez,,5.0,7000.0,Tarjeta,Pereira,4,
PED-0224,,10:31:00,nAa Herrera,Cold brew,3.0,7000.0,transferencia,Cartagena,4,sin lactosa
PED-0225,,,Mraía López,Chocolate caliente,3.0,10300.0,tarjeta débito,Barranquilla,4,
PED-0226,,14:31:00,aCrlos Martínez,,5.0,14700.0,Nequi,BOGOTA,3,caliente porfavor
PED-0227,,07:27:00,,Machiato,,5500.0,transferencia,Cali,4,
PED-0228,,06:39:00,uJan García,Espresso,3.0,,Efectivo,BOGOTA,5,caliente porfavor
PED-0229,,23:20:00,,,3.0,,Efectivo,Barranquilla,5,
PED-0230,,,,,,13600.0,,BOGOTA,3,doble shot
PED-0231,,12:42:00,Isabelal Gutiérrez,Mocha,5.0,10300.0,Efectivo,BOGOTA,3,muy rico!
PED-0232,,,Valentian Vargas,Americano,2.0,14800.0,Efectivo,Medellín,1,sin lactosa
,,08:25:00,aMría Ortiz,Mocha,3.0,6900.0,transferencia,BOGOTA,4,sin azúcar
PED-0234,,,Juna Morales,Latte,3.0,12400.0,Nequi,BOGOTA,2,
PED-0235,,18:00:00,Vlaentina Ramírez,Cappuccino,,14500.0,,Barranquilla,5,sin lactosa
PED-0236,,,Ana Pérez,Mocha,1.0,17200.0,transferencia,,3,extra caliente
PED-0237,,12:05:00,Deigo García,Americano,5.0,14900.0,DaviPlata,Cartagena,,
PED-0238,,12:12:00,Lauar Rodríguez,Espresso,1.0,10300.0,transferencia,,4,
PED-0239,,18:45:00,aMría Martínez,Chocolate caliente,,17700.0,,Pereira,2,
PED-0240,,,Jorge Vargas,Mocha,4.0,6300.0,transferencia,Medellín,5,muy rico!
PED-0241,,20:27:00,Aan Jiménez,Mocha,5.0,16600.0,Tarjeta,Cali,2,
PED-0242,,08:15:00,Juan García,Latte,2.0,6900.0,Tarjeta,,3,caliente porfavor
PED-0243,,,,Cold brew,4.0,17400.0,,,5,
PED-0244,,21:28:00,aNtalia Morales,Chocolate caliente,3.0,17400.0,,Pereira,3,doble shot
PED-0245,,,nAa Martínez,Cold brew,2.0,14100.0,,,,
,,08:48:00,uJan Sánchez,Té verde,3.0,,Tarjeta,,4,para llevar
PED-0247,,,Cralos García,Latte,1.0,10900.0,tarjeta débito,Pereira,5,doble shot
PED-0248,,06:06:00,Natlaia Ramos,Mocha,4.0,,,Pereira,4,
,,,Sebsatián Ortiz,Machiato,4.0,,,Medellín,,sin lactosa
,,21:06:00,Valnetina Sánchez,Chocolate caliente,4.0,13600.0,transferencia,Cali,2,doble shot
PED-0251,,,Sebastián Muñoz,Frappé,1.0,,Tarjeta,Medellín,,doble shot
,,12:28:00,Laura Herrera,Espresso,1.0,16800.0,tarjeta débito,,3,
PED-0253,,22:04:00,Paual Martínez,Frappé,4.0,6400.0,Efectivo,Pereira,4,muy rico!
PED-0254,,,Sebasitán Díaz,,4.0,14000.0,Efectivo,Cali,3,sin azúcar
PED-0255,,09:46:00,,Frappé,3.0,11400.0,transferencia,Medellín,,muy rico!
PED-0256,,,,Americano,5.0,16600.0,,Barranquilla,5,doble shot
PED-0257,,,Aeljandro Sánchez,Cold brew,2.0,9500.0,Efectivo,BOGOTA,5,doble shot
PED-0258,,,aLura González,Chocolate caliente,1.0,,transferencia,BOGOTA,4,
PED-0259,,16:34:00,eFlipe Pérez,Cold brew,5.0,6400.0,transferencia,BOGOTA,4,
,,12:15:00,Sbeastián Castro,,2.0,11800.0,Efectivo,Cali,5,
PED-0261,,16:11:00,Maíra Rodríguez,Frappé,3.0,5700.0,,,3,doble shot
PED-0262,,09:15:00,,Machiato,2.0,14700.0,Nequi,Cali,5,muy rico!
PED-0263,,18:22:00,Alejnadro Martínez,,4.0,,Tarjeta,BOGOTA,5,
PED-0264,,04:01:00,Maraina García,Frappé,3.0,7300.0,,,3,
PED-0265,,12:28:00,Felipe Jiménez,Latte,,15700.0,DaviPlata,Cartagena,3,sin lactosa
PED-0266,,10:47:00,Soífa Sánchez,Cappuccino,3.0,14000.0,,Barranquilla,,doble shot
PED-0267,,16:00:00,David García,Cappuccino,3.0,17900.0,DaviPlata,BOGOTA,4,muy rico!
PED-0268,,20:48:00,uLis Martínez,Latte,1.0,15400.0,,,3,
PED-0269,,20:50:00,Juna García,Machiato,,13600.0,,BOGOTA,3,caliente porfavor
,,,Joreg Flores,Americano,5.0,11400.0,,Pereira,5,
PED-0271,,,Aan Ramírez,Frappé,1.0,7100.0,,,1,
PED-0272,,,Fleipe Herrera,Té verde,4.0,7000.0,Nequi,,1,
PED-0273,,,Caimla Gutiérrez,Espresso,4.0,16400.0,DaviPlata,Medellín,3,
PED-0274,,06:48:00,Alejandor Pérez,Té verde,,15200.0,,,5,
PED-0275,,08:18:00,Aan Ortiz,Machiato,1.0,16600.0,tarjeta débito,Cartagena,5,sin lactosa
PED-0276,,,Jaun Flores,Chocolate caliente,1.0,7700.0,DaviPlata,Cali,1,muy rico!
,,,Sebastiná Herrera,Frappé,,8500.0,tarjeta débito,Cartagena,4,caliente porfavor
PED-0278,,,Juna Gutiérrez,Cappuccino,3.0,16300.0,tarjeta débito,,4,
PED-0279,,12:04:00,,Chocolate caliente,2.0,8900.0,tarjeta débito,BOGOTA,,extra caliente
PED-0280,,,Soífa Ramos,Chocolate caliente,4.0,9800.0,Tarjeta,Cartagena,5,
PED-0281,,07:15:00,Isbaella López,Mocha,4.0,15400.0,,Pereira,,
,,,María Rodríguez,,1.0,11300.0,DaviPlata,Cartagena,2,
PED-0283,,12:45:00,eSbastián Ortiz,Mocha,2.0,,tarjeta débito,,,
PED-0284,,09:51:00,aPula Morales,Cappuccino,1.0,14900.0,DaviPlata,Pereira,2,sin azúcar
,,,Mraía Torres,Chocolate caliente,1.0,5900.0,tarjeta débito,Cali,,
PED-0286,,,Camila Vargas,,,4700.0,,BOGOTA,5,
PED-0287,,,Lius López,Té verde,1.0,17700.0,,,5,
PED-0288,,,Sebastáin Ortiz,Americano,2.0,10300.0,,Barranquilla,5,para llevar
PED-0289,,12:00:00,Camlia Díaz,Latte,3.0,6600.0,Efectivo,Medellín,3,doble shot
PED-0290,,17:44:00,,Machiato,1.0,5000.0,Efectivo,Cali,5,sin lactosa
PED-0291,,12:56:00,Valentnia Ramos,Cold brew,2.0,12600.0,,,,extra caliente
,,,Andérs Pérez,Té verde,2.0,7300.0,DaviPlata,Medellín,1,
,,13:30:00,Aan García,,3.0,16300.0,DaviPlata,Medellín,1,
PED-0294,,,,Frappé,3.0,10900.0,DaviPlata,,3,
PED-0295,,09:25:00,Natalia Vargas,Cold brew,5.0,7000.0,transferencia,Cali,,
PED-0296,,11:48:00,Cralos Herrera,Machiato,,,transferencia,BOGOTA,5,
PED-0297,,13:16:00,Juna Ramos,,,13800.0,Efectivo,BOGOTA,,
PED-0298,,06:34:00,Valnetina Vargas,Machiato,1.0,12500.0,Efectivo,Medellín,4,
PED-0299,,07:59:00,Digeo Pérez,Latte,3.0,14000.0,,Barranquilla,4,
,,20:44:00,Adnrés García,,3.0,17000.0,Nequi,Barranquilla,1,caliente porfavor
