user_id,nombre,edad,ciudad,genero_musical,artista_favorito,canciones_semana,plataforma,horas_dia,dispositivo,genero_persona,nivel_educativo,fecha_registro,hora_registro
USR00029,Sofía Vargas,19,,Clásica,Shakira,18,Amazon Music,4.9,Alexa,femenino,Posgrado,,20:09
USR00030,Isabella Castro,,Manizales,,Shakira,77,Spotify,todo el dia,,F,universitario,2019.1.9,1652
USR00031,Laura García,,Medellín,Vallenato,J Balvin,145,Spotify,,Parlante,Masculino,TÉCNICO,9-13-2021,21:17:00
USR00032,Valentina Morales,33,CALI,Vallenato,Shakira,28,youtube,6.6,Smart TV,Masculino,Secundaria,,7:51
USR00033,,25 años,,SALSA,Carlos Vives,101,youtube,,Computador,M,Técnico,7 mar 2023,3:00pm
USR00034,Alejandro Díaz,27,Manizales,Vallenato,Carlos Vives,22,Tidal,,celular,F,Universitario,2-16-2023,21h12
USR00035,,71,Bogotá,Clásica,Feid,,Tidal,2.7,,F,Primaria,2024.11.10,10:20am
USR00036,María Morales,47,medellin,,Shakira,187,SoundCloud,2.1,,M,Primaria,8 jun 2022,21h39
USR00037,Diego Muñoz,75,Manizales,Metal,,200,SPOTIFY,2.8,Computador,No binario,,11/5/2021,10h07
,Valentina Ramos,18,Bogotá,Hip-Hop,Shakira,,,5.1,,Masculino,Tecnólogo,3/1/2023,7:57:00
USR00039,Andrés Herrera,25 años,Medellín,reggaeton,Carlos Vives,N/D,Spotify,1.2,Computador,femenino,,,18h21
USR00040,,12,Medellín,Reggaeton,,73,Amazon Music,6.7,,m,TÉCNICO,2021/3/2,
USR00041,Carlos Pérez,44,,,Metallica,32,,1.1,Tablet,,Posgrado,3-13-2023,18:11
USR00042,,49,Bogotá,Rock,Shakira,120,Amazon Music,0.7,Computador,m,,,20:22
USR00043,Sebastián Jiménez,53,,Hip-Hop,,179,Tidal,,,No binario,universitario,19 may 2024,13.24
USR00044,Andrés Gutiérrez,62,Manizales,,,186,,2.4,Tablet,No binario,TÉCNICO,4 jun 2022,
USR00045,Sebastián Flores,N/A,,Electronic,Feid,73,SPOTIFY,,Parlante,F,Tecnólogo,,10.55
USR00046,,72,Barranquilla,Clásica,Bad Bunny,171,Tidal,3.4,COMPUTADOR,femenino,,2023/21/3,1533
USR00047,Laura González,27,,reggaeton,Metallica,35,SPOTIFY,,COMPUTADOR,M,,1972019,1732
USR00048,Alejandro Torres,68,Medellín,Jazz,Ba dBunny,160,YouTube,5.6,Smart TV,No binario,universitario,14-12-24,9:54:00
USR00049,Carlos Flores,70,Cali,Clásica,,99,,5.2,Alexa,M,Posgrado,2021.5.23,17:23:00
USR00050,,52,medellin,Reggaeton,Metallica,166,Tidal,2.9,Smart TV,,Universitario,2022.12.17,9:11:00
USR00051,David Díaz,42,CALI,Reggaeton,Bda Bunny,193,Deezer,3.7,Audífonos BT,M,Posgrado,12122022,23.47
USR00052,,43,CALI,Rock,Metallica,90,SPOTIFY,todo el dia,Computador,femenino,TÉCNICO,692023,9:28 AM
USR00053,Ana García,N/A,Cali,,J Balvin,73,Amazon Music,6.8,Alexa,Masculino,,8-23-2024,1614
USR00054,María Herrera,45,Cali,Hip-Hop,,34,Spotify,7.2,,m,,2021.2.27,12h16
,Isabella Ramos,21,,POP,Bad Bunny,20,Spotify,,celular,,TÉCNICO,18/12/2021,9h42
,Mariana García,36,Bogotá,reggaeton,J Balvin,45,,1.1,Computador,No binario,Técnico,13-6-23,11:30 AM
USR00057,Mariana Morales,64,Barranquilla,Clásica,,60,Amazon Music,4.9,Computador,No binario,Universitario,11/27/2023,6:29am
USR00058,Sebastián Ortiz,33,,SALSA,Shakira,,Apple Music,,Parlante,Masculino,,9-3-2024,
,,44,,SALSA,Metallica,,,0.6,Tablet,m,,6/11/2019,
,Isabella Ortiz,72,Barranquilla,Pop,Metallica,99,SoundCloud,,Smart TV,,,2-12-22,7:55pm
USR00061,Mariana Martínez,,Cali,Jazz,Metallica,153,Deezer,5.7,Computador,femenino,Primaria,2022.7.27,20:49:00
USR00062,,,Medellín,SALSA,Maluma,98,Tidal,4.0,Smart TV,F,universitario,23-7-22,17h56
USR00063,Laura García,75,,Jazz,J Balvin,116,SoundCloud,5.2,COMPUTADOR,F,Primaria,9 mar 2022,15.18
USR00064,Diego Ortiz,42,Bogotá,,,81,youtube,2.7,Audífonos BT,m,Primaria,14/3/2021,1543
USR00065,,61,Barranquilla,,BadB unny,100 aprox,,0.8,,m,,2021/27/9,6:48 AM
USR00066,,68,Barranquilla,Rock,Mozart,123,SoundCloud,7.9,COMPUTADOR,femenino,TÉCNICO,7-26-2019,7:02:00
USR00067,,20,Manizales,Metal,,86,YouTube,4.0,celular,m,universitario,2/1/2022,
USR00068,,44,Bogotá,,,100,SoundCloud,2.3,Alexa,,TÉCNICO,2022/3/9,15h00
USR00069,,20,Bogotá,Pop,Carlos Vives,88,SoundCloud,,Computador,femenino,,8-8-21,
USR00070,Diego González,22,Bogotá,reggaeton,Feid,144,,6.5,Parlante,femenino,,882024,
USR00071,Valentina Jiménez,55,Barranquilla,Salsa,Shakira,65,Amazon Music,2.4,Tablet,F,,10/28/2024,11h32
USR00072,Felipe López,30,medellin,Clásica,,94,,todo el dia,,m,universitario,2023.1.20,9:13am
USR00073,,,,Rock,,158,YouTube,5.0,Alexa,m,Primaria,2020/28/9,22:40
USR00074,Andrés Herrera,65,,Jazz,Maluma,120,Amazon Music,N/A,,,Universitario,2021/7/11,2:01pm
USR00075,,25 años,Barranquilla,POP,Shakira,28,SoundCloud,6.9,celular,No binario,Secundaria,2021/20/7,22:46
USR00076,Felipe Castro,53,Manizales,regueton,Carlos Vives,71,,1.0,Alexa,,Universitario,7/14/2021,7:33am
USR00077,Camila Vargas,24,Medellín,Reggaeton,Maluma,,Deezer,1.8,Alexa,,Universitario,1/14/2024,3:34pm
USR00078,,52,Cali,Salsa,Bad Bunny,153,,N/A,Alexa,,universitario,15-5-20,6:36am
,,37,Barranquilla,Salsa,Metallica,129,Amazon Music,1.2,Audífonos BT,,Técnico,11-4-2019,22h54
USR00080,,55,Barranquilla,Rock,Bad Bunny,100 aprox,Tidal,2.2,Computador,,universitario,12-15-2021,8:52:00
USR00081,Luis Jiménez,36,Barranquilla,reggaeton,Metallica,58,SPOTIFY,6.0,Parlante,femenino,,4/16/2022,919
USR00082,Paula Muñoz,37,Medellín,Reggaeton,,32,SPOTIFY,6.7,Alexa,Masculino,Primaria,4 may 2024,
USR00083,Andrés Rodríguez,16,Cali,Electronic,Shakira,14,SPOTIFY,7.8,Alexa,femenino,TÉCNICO,12-14-2019,18.45
USR00084,Sebastián Ramos,75,,,Metallica,187,youtube,7.6,Celular,No binario,Tecnólogo,4-23-2023,957
USR00085,Felipe García,31,CALI,Clásica,Maluma,191,Apple Music,,Smart TV,Masculino,TÉCNICO,10/9/2023,17h36
USR00086,Carlos García,40,,SALSA,Carlos Vives,178,,N/A,Tablet,femenino,TÉCNICO,2024/27/1,19.20
USR00087,Juan Ramírez,34,Medellín,Pop,Feid,17,Spotify,2.5,,,Tecnólogo,,7:17 PM
USR00088,Camila Herrera,34,,reggaeton,Carlos Vives,179,Amazon Music,N/A,Celular,,,2020/4/10,18:17
,María Ortiz,Veintiocho,,Rock,Carlos Vives,35,Amazon Music,3h,Parlante,,universitario,3-2-2020,
USR00090,Luis Gutiérrez,30,Medellín,Electronic,Carlos Vives,174,SPOTIFY,5.3,Alexa,No binario,universitario,2692019,6:42
USR00091,María González,26,Manizales,Pop,Bad Bunny,177,Tidal,3.5,celular,No binario,Primaria,7112020,5:09pm
USR00092,Andrés Gutiérrez,,medellin,Clásica,J Balvin,23,Apple Music,7.2,Smart TV,M,,15-3-21,1119
USR00093,,72,CALI,Metal,Bad Bunny,39,Apple Music,,celular,Masculino,TÉCNICO,11-11-2019,7:47pm
USR00094,Isabella Torres,,Cali,,Bad Bunny,82,youtube,1.6,celular,M,Tecnólogo,4/12/2020,6:39am
USR00095,Alejandro Ortiz,Veintiocho,Medellín,reggaeton,Grupo Niche,7,SPOTIFY,6.6,Alexa,M,universitario,23 abr 2023,14h56
USR00096,Valentina Ramos,14,Barranquilla,Vallenato,,100 aprox,Amazon Music,4.9,Tablet,femenino,,1552020,
USR00097,,68,CALI,Pop,Mozart,,Deezer,,Computador,femenino,Universitario,2019/8/2,1823
USR00098,,49,,Metal,Bad Bnuny,122,Deezer,5.9,Computador,Masculino,universitario,11-10-20,6:51 PM
USR00099,Sebastián Torres,66,medellin,Clásica,Grupo Niche,67,Deezer,,celular,Masculino,Posgrado,2021/20/3,13h19
USR00100,,38,Barranquilla,,,194,,4.5,celular,M,Universitario,11 ene 2020,9:27am
USR00101,Camila Flores,19,,SALSA,Metallica,176,youtube,,celular,F,Universitario,2022.7.25,9:58:00
USR00102,Sebastián Ramírez,67,,Rock,Bad Bunny,132,Apple Music,3.6,,,Posgrado,12-23-2022,6:57 AM
,Jorge Sánchez,55,Cali,Vallenato,Bad Bunny,52,SPOTIFY,0.7,Audífonos BT,Masculino,Secundaria,8/4/2023,6:14am
,,43,Medellín,,Mozart,100 aprox,SPOTIFY,5.0,,M,Primaria,27 oct 2022,12:35pm
,Felipe Martínez,,CALI,,Grupo Niche,94,,6.4,Smart TV,,TÉCNICO,11/11/2022,10:45pm
USR00106,Felipe Martínez,,,Metal,,72,Deezer,6.1,Celular,No binario,Tecnólogo,4 oct 2024,8h49
USR00107,Sebastián Ortiz,63,CALI,,J Balvin,163,,2.3,,femenino,Posgrado,8 jul 2023,7:50
,Sofía Torres,34,medellin,Pop,,27,,4.2,Computador,femenino,Posgrado,2022.10.17,22:28
USR00109,Diego Flores,27,Medellín,,,152,Tidal,2.5,Audífonos BT,femenino,Universitario,2019/21/8,9h55
USR00110,,,Bogotá,,,132,Tidal,7.9,celular,M,Primaria,24/5/2020,22:46:00
USR00111,Carlos Torres,24,CALI,Hip-Hop,J Balvin,68,youtube,2.3,Smart TV,Masculino,Posgrado,20/4/2019,12:30
USR00112,Sebastián Vargas,41,,Hip-Hop,,193,Deezer,3.3,COMPUTADOR,,Universitario,1/18/2021,2053
USR00113,,25 años,Medellín,Electronic,,185,Tidal,3.9,celular,M,Universitario,2-10-23,19h48
USR00114,Alejandro Ramos,39,Medellín,Jazz,,,SoundCloud,N/A,,No binario,Universitario,2023.3.26,
USR00115,Isabella Muñoz,,Medellín,regueton,Grupo Niche,,SPOTIFY,,Computador,femenino,Universitario,,6:26 PM
USR00116,Paula Torres,N/A,Manizales,Clásica,Metallica,122,SoundCloud,todo el dia,Computador,No binario,,362021,22h54
USR00117,,38,Manizales,Reggaeton,Mozart,muchas,,3.6,,femenino,Universitario,2022.3.8,1244
USR00118,,69,,Vallenato,Metallica,,Deezer,0.9,Tablet,Masculino,Posgrado,2-4-2023,11:14pm
USR00119,Felipe Martínez,17,,Hip-Hop,Feid,59,,6.3,Parlante,,,2032023,20h42
USR00120,Alejandro Morales,55,,SALSA,J Balvin,56,,1.8,Smart TV,,Universitario,,1508
USR00121,David González,66,Barranquilla,reggaeton,Feid,,Deezer,,,F,Posgrado,2019.3.12,5:25 PM
USR00122,Natalia Rodríguez,16,medellin,regueton,Grupo Niche,muchas,Spotify,,Audífonos BT,,,2024.9.17,20h35
USR00123,,56,CALI,,,89,Tidal,,celular,femenino,TÉCNICO,11-17-2022,21h05
USR00124,,25 años,Bogotá,POP,Maluma,,Spotify,0.5,celular,M,Universitario,7/10/2019,20h40
USR00125,Alejandro Sánchez,,Barranquilla,Pop,Bad Bunny,185,Apple Music,N/A,,M,Tecnólogo,2822021,6:09am
USR00126,,62,medellin,,Mozart,132,SPOTIFY,7.0,Tablet,No binario,Secundaria,16-9-19,9.50
USR00127,Isabella Ortiz,70,Bogotá,regueton,Bad Bnuny,90,youtube,,,m,,3/28/2024,
USR00128,María Vargas,75,,,Maluma,132,Apple Music,4.0,Tablet,m,,5/5/2021,21:46
USR00129,David Herrera,42,Cali,,Ba dBunny,135,SPOTIFY,N/A,Parlante,,,,21:17:00
USR00130,Isabella Rodríguez,28,,reggaeton,,80,youtube,3.0,Audífonos BT,,Primaria,2021/2/4,11:29
,,,medellin,Reggaeton,Bad Bunyn,147,Tidal,3.2,Computador,m,Secundaria,2020.12.7,1324
USR00132,Carlos Martínez,25 años,Cali,,Metallica,29,Tidal,5.3,Celular,,,9-27-2022,23:16
USR00133,Carlos Martínez,,Barranquilla,Rock,Carlos Vives,111,Amazon Music,,Parlante,No binario,Posgrado,25/9/2024,15:48:00
USR00134,Isabella Martínez,32,CALI,POP,Metallica,170,Deezer,2.3,Computador,M,Tecnólogo,,
USR00135,Sofía García,19,Bogotá,,,111,Apple Music,,Smart TV,,,,20h07
USR00136,,,,SALSA,Bad Bunny,47,youtube,0.9,celular,M,Primaria,892019,9:18:00
USR00137,,,Bogotá,Jazz,Bad Bnuny,80,,6.6,,No binario,universitario,20 dic 2019,1:43 PM
USR00138,Valentina Vargas,20,,Clásica,Shakira,166,Tidal,1.0,Audífonos BT,M,Primaria,2022/15/6,7:58 PM
USR00139,,16,Manizales,reggaeton,Grupo Niche,21,youtube,N/A,Parlante,M,Posgrado,2-9-21,
USR00140,Alejandro González,45,Cali,Reggaeton,,,,1.9,Alexa,M,,2023.12.19,
USR00141,Mariana Gutiérrez,,Bogotá,Pop,Metallica,100 aprox,youtube,6.9,,M,universitario,,
USR00142,,61,Medellín,regueton,,51,Deezer,4.4,COMPUTADOR,No binario,Primaria,1/5/2019,14:52
USR00143,María Vargas,68,Medellín,Rock,,156,YouTube,3.7,Smart TV,No binario,Primaria,4/3/2022,2107
USR00144,,,Barranquilla,Salsa,Mozart,,YouTube,3.5,Celular,No binario,universitario,,22:27:00
USR00145,Camila García,43,Manizales,,Carlos Vives,35,,8.0,COMPUTADOR,M,,3-10-19,
USR00146,,42,CALI,,J Balvin,,youtube,,COMPUTADOR,F,Posgrado,9/2/2020,2:19 PM
USR00147,Alejandro Ortiz,,Manizales,Electronic,,54,,4.4,Celular,No binario,Posgrado,,1025
USR00148,Mariana Muñoz,68,,Hip-Hop,,10,Tidal,3h,Computador,m,TÉCNICO,2021.7.25,
USR00149,Natalia Morales,65,,Reggaeton,,100 aprox,youtube,3.6,Tablet,No binario,TÉCNICO,,1730
USR00150,Jorge González,22,CALI,Salsa,Bad Bunny,45,SoundCloud,6.3,Computador,,,21-12-20,2248
USR00151,Valentina Gutiérrez,73,Manizales,Vallenato,Feid,98,SoundCloud,7.9,Celular,No binario,,2-16-2022,15h17
USR00152,Andrés Ramos,,Medellín,Metal,Maluma,74,youtube,0.8,Computador,M,Posgrado,6-5-20,21.40
USR00153,Juan Sánchez,40,Manizales,Jazz,Bad uBnny,170,SPOTIFY,6.7,,femenino,Tecnólogo,13/8/2019,7:38 PM
USR00154,,75,Manizales,Hip-Hop,Carlos Vives,,SPOTIFY,7.8,,M,Técnico,12-2-2019,17h01
USR00155,,,medellin,regueton,Carlos Vives,155,YouTube,4.3,Computador,Masculino,,2020.5.16,11:57pm
USR00156,Sofía Vargas,39,Manizales,Metal,Shakira,40,SoundCloud,4.3,,No binario,,2020.11.22,
USR00157,Camila Ortiz,21,,SALSA,J Balvin,26,Amazon Music,2.7,Tablet,m,Posgrado,12 oct 2022,22:44:00
,Mariana Ramírez,16,Cali,Clásica,J Balvin,74,Amazon Music,2.8,Alexa,Masculino,universitario,18-4-20,2:34 PM
USR00159,Camila Muñoz,75,Bogotá,Metal,J Balvin,89,Apple Music,3.1,Alexa,,Primaria,4 ago 2019,8:41:00
USR00160,Sofía Ramírez,59,Bogotá,POP,Bad Bunny,,,1.5,Tablet,M,universitario,2020.9.27,7.51
USR00161,,64,CALI,regueton,Metallica,30,Amazon Music,,Celular,femenino,Tecnólogo,7-6-19,8:23 PM
USR00162,Mariana Flores,,Bogotá,reggaeton,Bad Bunny,56,Amazon Music,6.8,Computador,Masculino,Secundaria,2024/11/2,14.59
USR00163,Jorge Sánchez,72,CALI,Rock,,,Spotify,7.0,,M,Universitario,8 feb 2019,10:33pm
USR00164,Paula Gutiérrez,46,Cali,Clásica,,130,Tidal,5.8,Tablet,m,,2019/12/2,21:51:00
USR00165,Carlos Flores,68,Manizales,Clásica,,N/D,YouTube,7.3,Tablet,F,Tecnólogo,2022.5.3,17.00
USR00166,Andrés Ramírez,,Barranquilla,SALSA,,175,Amazon Music,3.6,Computador,Masculino,universitario,26-12-22,21.12
USR00167,Juan Vargas,38,Manizales,Pop,Feid,41,youtube,todo el dia,,m,,2021.4.5,13h52
USR00168,,30,Medellín,SALSA,Metallica,,Apple Music,3h,Tablet,femenino,TÉCNICO,19/4/2024,9:27:00
USR00169,Alejandro García,72,,,Grupo Niche,184,Apple Music,6.5,Parlante,No binario,Posgrado,2023.7.26,5:38pm
USR00170,Paula Castro,50,Barranquilla,Hip-Hop,Maluma,80,Tidal,,celular,,Técnico,11-24-2023,10h43
USR00171,Valentina Morales,,Manizales,Jazz,Carlos Vives,151,Spotify,,Smart TV,M,universitario,27/1/2024,10:58
USR00172,Paula Ramírez,55,Medellín,Clásica,Mozart,23,Deezer,0.9,celular,Masculino,Primaria,,5:05 PM
USR00173,Felipe Vargas,20,Bogotá,Salsa,Mozart,,Tidal,0.9,,No binario,Tecnólogo,2019.11.17,16h53
USR00174,,25 años,Medellín,,Metallica,106,,N/A,COMPUTADOR,M,Posgrado,1 ene 2021,13:47
USR00175,Andrés Torres,,Medellín,Hip-Hop,Carlos Vives,88,Deezer,6.3,Smart TV,No binario,Primaria,,
USR00176,Diego López,37,,POP,Shakira,194,SPOTIFY,,Smart TV,,Secundaria,2023/6/11,
USR00177,Valentina García,24,Medellín,,J Balvin,20,Apple Music,1.7,Parlante,No binario,Universitario,2021/14/8,
USR00178,Carlos Pérez,69,CALI,,Mozart,100 aprox,YouTube,1.5,Alexa,F,Secundaria,26/3/2023,950
USR00179,Jorge Ortiz,61,medellin,Salsa,Feid,10,SPOTIFY,3.0,Celular,No binario,Técnico,3-15-2023,14:07
USR00180,Mariana Martínez,,,,Grupo Niche,,,,,femenino,,5-2-23,4:10 PM
USR00181,María López,22,Barranquilla,regueton,Bad Bunny,165,Tidal,,,,Tecnólogo,2020.5.28,1422
USR00182,Mariana Ramos,46,Medellín,Metal,Mozart,50,Spotify,0.9,Parlante,,Posgrado,20-12-24,
,,16,Manizales,Reggaeton,Feid,170,Spotify,4.3,Alexa,Masculino,,22 jun 2022,
USR00184,Laura López,68,medellin,Salsa,,100 aprox,YouTube,7.3,Computador,femenino,,5/1/2024,11:57:00
USR00185,Isabella Gutiérrez,64,Bogotá,,aBd Bunny,126,Tidal,2.9,COMPUTADOR,femenino,,,13.34
,Diego Vargas,41,Cali,Reggaeton,Bad Bunny,161,YouTube,,,femenino,Secundaria,2023.10.28,
USR00187,María García,70,,,Bad uBnny,153,youtube,7.4,Smart TV,,Posgrado,2022/4/10,1257
,Andrés Muñoz,56,Medellín,,Bad Bunny,131,Tidal,4.4,Smart TV,No binario,Universitario,2762021,13:04
USR00189,Natalia Morales,35,Manizales,Vallenato,Carlos Vives,,SoundCloud,6.6,Smart TV,,,7/14/2023,1128
USR00190,Paula Ortiz,31,Cali,Hip-Hop,J Balvin,195,,3h,,m,Tecnólogo,2024.5.4,7:03:00
USR00191,Laura Torres,37,medellin,,,80,YouTube,5.1,COMPUTADOR,m,Posgrado,2024/16/5,12:58
USR00192,María Vargas,29,Medellín,Rock,Shakira,50,,7.5,Audífonos BT,No binario,,4/28/2021,11:20:00
USR00193,Natalia Flores,26,medellin,Pop,,190,Spotify,0.5,Smart TV,No binario,,5/5/2023,9.32
USR00194,María Vargas,44,medellin,Reggaeton,J Balvin,131,Spotify,2.0,Computador,m,Primaria,2020.7.26,12:24 PM
USR00195,David Muñoz,,,Salsa,Feid,33,Amazon Music,7.8,Computador,Masculino,Secundaria,2023.7.3,
USR00196,Paula González,,medellin,Metal,Bad Bunny,44,YouTube,6.7,Alexa,m,Posgrado,14122019,14h00
USR00197,,72,,Vallenato,Mozart,184,Tidal,6.1,COMPUTADOR,M,Técnico,20-9-20,8.37
USR00198,Andrés Morales,27,Bogotá,Reggaeton,Bad Bunny,muchas,Apple Music,5.4,Alexa,femenino,universitario,21-11-22,1126
USR00199,Paula Morales,,Cali,Jazz,Feid,14,,6.1,COMPUTADOR,,Universitario,2021/1/11,9:14
USR00200,Diego Martínez,30,,reggaeton,Feid,N/D,Spotify,N/A,Alexa,,Tecnólogo,2024.4.27,
USR00201,Valentina Sánchez,32,Barranquilla,reggaeton,Bad Bunny,57,Deezer,5.9,Celular,F,universitario,3 ene 2024,7:47
USR00202,María Jiménez,28,Medellín,Electronic,Maluma,169,Spotify,3.6,celular,m,,2023/18/2,14:45
USR00203,Diego Jiménez,21,,,Grupo Niche,187,Amazon Music,1.5,Smart TV,No binario,universitario,22/2/2021,6:23pm
USR00204,María Flores,26,,Clásica,Metallica,muchas,youtube,3h,COMPUTADOR,femenino,Universitario,,7.32
USR00205,Sofía Herrera,48,Medellín,,Ba dBunny,N/D,Amazon Music,3.0,,m,Posgrado,22 ene 2022,753
,Jorge Ortiz,,,,J Balvin,70,youtube,,,M,,2022/17/9,
USR00207,Mariana García,53,Medellín,,Mozart,192,SPOTIFY,4.1,,F,Secundaria,18-9-22,10:02 PM
USR00208,Isabella Herrera,69,Cali,Jazz,Bad Bunny,40,SPOTIFY,7.1,Alexa,No binario,,2019/3/7,1:36pm
USR00209,,13,Medellín,Vallenato,Carlos Vives,7,Amazon Music,0.8,COMPUTADOR,No binario,Secundaria,2022.6.26,12:36pm
USR00210,,59,Medellín,Pop,Bad Bunny,20,Spotify,3.4,celular,F,,2 abr 2019,6.32
USR00211,Carlos Pérez,65,Manizales,Clásica,aBd Bunny,,Apple Music,3.8,Smart TV,femenino,Secundaria,21-8-19,
USR00212,,75,Medellín,Hip-Hop,Shakira,67,SPOTIFY,todo el dia,Parlante,F,Técnico,24-4-22,804
USR00213,Felipe González,N/A,,Rock,Bad Bunny,75,SoundCloud,3.9,,,Técnico,5-5-2019,9h23
USR00214,,32,Bogotá,Pop,Feid,115,,4.2,Alexa,,,2023/8/11,22.49
USR00215,María Rodríguez,57,Manizales,Salsa,Bad Bunny,44,SoundCloud,,,M,Secundaria,12-5-2020,2:03 PM
USR00216,María Herrera,59,Cali,regueton,Bad Bunny,,Tidal,5.5,,No binario,Universitario,2-17-2020,
USR00217,Carlos García,66,,Electronic,J Balvin,124,SPOTIFY,,,No binario,Técnico,2023.5.14,20h10
USR00218,Camila Martínez,38,CALI,Metal,,191,SPOTIFY,3.6,celular,,,2024/12/5,7h20
USR00219,Camila Jiménez,24,Medellín,Vallenato,Shakira,94,Tidal,6.2,Computador,m,Tecnólogo,2020.9.26,
USR00220,Natalia González,69,medellin,POP,J Balvin,168,Tidal,7.9,Audífonos BT,F,,,6h22
,,64,Bogotá,Salsa,Grupo Niche,66,Amazon Music,6.3,Smart TV,,,19 mar 2019,
USR00222,,19,Manizales,Metal,,108,youtube,,,,TÉCNICO,2023.6.16,9:08pm
USR00223,Mariana Ramírez,72,Manizales,Rock,Grupo Niche,108,Spotify,7.2,COMPUTADOR,Masculino,Técnico,242022,14.43
USR00224,Luis Pérez,34,Barranquilla,Metal,Mozart,muchas,Amazon Music,,Parlante,m,Universitario,10-24-2021,13:24:00
,David Ortiz,19,,Electronic,Mozart,N/D,Deezer,6.8,Computador,m,,,8:59 PM
USR00226,Natalia Martínez,19,,,Mozart,,Amazon Music,4.4,COMPUTADOR,F,,17-11-23,10:47:00
,,N/A,Manizales,Pop,Bad Bunny,164,,1.1,Smart TV,Masculino,Tecnólogo,2022/15/5,23h24
,,44,Manizales,SALSA,Feid,,Apple Music,1.3,Computador,m,Posgrado,,
USR00229,Jorge Flores,,medellin,,Maluma,,Deezer,0.7,COMPUTADOR,,TÉCNICO,2024.3.22,6:13
USR00230,,30,Barranquilla,,Maluma,142,YouTube,1.9,celular,m,TÉCNICO,20 mar 2024,8h05
USR00231,,13,Medellín,SALSA,Metallica,181,Amazon Music,3h,Smart TV,F,Tecnólogo,3122022,
USR00232,Paula Vargas,14,,Vallenato,,77,Spotify,3h,Celular,Masculino,,17/3/2019,14:48
USR00233,,64,,Reggaeton,Metallica,65,Apple Music,6.0,celular,Masculino,TÉCNICO,2021.4.12,8:31
USR00234,,59,medellin,Vallenato,Bad Bunny,36,YouTube,,,F,Secundaria,13/2/2019,9:03am
